# Catalogue de titres de conteneur LIVRÉ avec WilcoATC.
#
# Chaque ligne est un titre RELEVÉ dans un vrai Microsoft Flight Simulator 2024 — aucun
# n'est inventé. Il sert d'amorce : sans lui, un nouvel utilisateur ne peut rien faire
# naître tant que son simulateur ne lui a montré aucun appareil.
#
# Un titre absent de SON installation échoue simplement à la création, sans dommage :
# les titres qu'il a lui-même observés passent toujours en premier.
#
# Pour enrichir ce fichier : charger l'appareil une fois dans le simulateur, puis relever
# son titre dans %APPDATA%\FreqWatch\sim-titles.json.

Asobo PassiveAircraft A319 CEO
Asobo PassiveAircraft A320 CEO
Asobo PassiveAircraft A320 NEO
Asobo PassiveAircraft A330-300
Asobo PassiveAircraft B737-800
Asobo PassiveAircraft C152 Aerobat
Asobo PassiveAircraft C177
Asobo PassiveAircraft C414
Asobo PassiveAircraft Citation CJ4
Asobo PassiveAircraft Citation Mustang
Asobo PassiveAircraft Citation Sovereign
Asobo PassiveAircraft E170
Asobo PassiveAircraft E190
Asobo PassiveAircraft E195-E2
Asobo PassiveAircraft M7
FA18E SuperHornet
FSLTL A20N SWR Swiss
FSLTL A319 LHX Lufthansa City
FSLTL A320 CTN Croatia
FSLTL A320 VLG Vueling
FSLTL A321 AEE Aegean
FSLTL A321 AFR Air France
FSLTL_A320_CSW_Chair-Airlines-Ag-STUB
FSLTL_A321_GJT_Getjet-Airlines-STUB
FSLTL_B738_Delta
FSLTL_B77W_KLM
FSLTL_B77W_SIA Singapore Airlines
FSLTL_BCS3_BTI-Baltic
FSLTL_BCS3_SWR-Swiss
FSLTL_DH8D_AUA-Austrian
FSLTL_DH8D_AUA-Austrian-Star
FSLTL_DH8D_CTN-Croatia
FSLTL_E170_LOT_LUBUSKIE
FSLTL_E190_Air Dolomiti
FSLTL_E190_Helvetic
FSLTL_E190_VJH_Vistajet-Germany-STUB
FSLTL_FAIB_A20N_EWG-Eurowings
FSLTL_FAIB_A21N_DLH-Lufthansa
FSLTL_FAIB_A21N_PGT-Pegasus
FSLTL_FAIB_A21N_SWR-SWISS
FSLTL_FAIB_A319_AUA-Austrian
FSLTL_FAIB_A319_DLH-Lufthansa_OC
FSLTL_FAIB_A319_EWG-Eurowings
FSLTL_FAIB_A320_AUA-Austrian_SL
FSLTL_FAIB_A320_EDW-Edelweiss
FSLTL_FAIB_A321_Austrian_SL
FSLTL_FAIB_A321_CFG-Condor D-AIAC
FSLTL_FAIB_A321_DLH-Lufthansa_OC
FSLTL_FAIB_A321_RJA-Royal Jordanian
FSLTL_FAIB_A321_SWR-Swiss Air
FSLTL_FAIB_B738_Aeronova
FSLTL_FAIB_B738_NOZ-Norwegian Air Shuttle AOC_Hanssen
FSLTL_FAIB_B738_Rednose_Larson
FSLTL_FAIB_B763_Delta
FSLTL_FSPXAI_A359_Edelweiss
FSLTL_FSPXAI_B789_American
FSLTL_OSP_AT45_Logan
FSLTL_OSP_AT46_Logan
FSLTL_TFS_A333_SWR-SwissAir
FSLTL_TFS_B77L_THY-Turkish Airlines_Cargo
FenixA321 CFM WF SC
Microsoft PassiveAircraft C185 Passenger
